GeneID,Module,kME,is_hub,Symbol,Description
102465871,1,0.42609816902323855,False,MIR8071-1,microRNA 8071-1
28738,1,0.5934658306772657,False,TRAJ17,T cell receptor alpha joining 17
28492,1,0.6539591116109815,False,IGHD5-5,immunoglobulin heavy diversity 5-5
6189,1,0.9189748810937034,True,RPS3A,ribosomal protein S3A
1668,1,-0.1949674035730865,False,DEFA3,defensin alpha 3
28746,1,0.019280297169826592,False,TRAJ9,T cell receptor alpha joining 9
28707,1,0.3608520288626141,False,TRAJ48,T cell receptor alpha joining 48
28718,1,0.5357133108320579,False,TRAJ37,T cell receptor alpha joining 37
28491,1,0.759587177253065,False,IGHD5-12,immunoglobulin heavy diversity 5-12
28703,1,0.3632031096917525,False,TRAJ52,T cell receptor alpha joining 52
3627,1,0.5470214662892575,False,CXCL10,C-X-C motif chemokine ligand 10
28712,1,0.2392300776256121,False,TRAJ43,T cell receptor alpha joining 43
6164,1,0.9126420591904435,True,RPL34,ribosomal protein L34
722,1,-0.04052426983151855,False,C4BPA,complement component 4 binding protein alpha
6154,1,0.8406657467154688,True,RPL26,ribosomal protein L26
28831,1,0.2909898658040537,False,IGLJ3,immunoglobulin lambda joining 3
28747,1,0.5403024915470632,False,TRAJ8,T cell receptor alpha joining 8
28727,1,0.3020217567607792,False,TRAJ28,T cell receptor alpha joining 28
28701,1,0.4217949646865804,False,TRAJ54,T cell receptor alpha joining 54
28722,1,0.5079755996581204,False,TRAJ33,T cell receptor alpha joining 33
100500849,1,0.9364771482228735,True,MIR3916,microRNA 3916
6201,1,0.9311817163990376,True,RPS7,ribosomal protein S7
109864272,1,0.6455515724382228,False,RNA28SN4,"RNA, 28S ribosomal N4"
100008589,1,0.6440846207180841,False,RNA28SN5,"RNA, 28S ribosomal N5"
3116,1,0.10201735073135992,False,HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)"
6969,1,0.5590899804361411,False,TRGJ2,T cell receptor gamma joining 2
28920,1,0.37037538561485195,False,IGKV2-29,immunoglobulin kappa variable 2-29
28713,1,0.13929429584646194,False,TRAJ42,T cell receptor alpha joining 42
221438,1,0.19387327696580056,False,TREML5P,"triggering receptor expressed on myeloid cells like 5, pseudogene"
28750,1,0.5315196639265464,False,TRAJ5,T cell receptor alpha joining 5
106632264,1,0.6488975058365775,False,RNA28SN1,"RNA, 28S ribosomal N1"
28517,1,0.48543474722019775,False,TRDV2,T cell receptor delta variable 2
28827,1,0.07869707775291591,False,IGLJ7,immunoglobulin lambda joining 7
28733,1,0.7513054917725138,False,TRAJ22,T cell receptor alpha joining 22
6170,1,0.8511113189193614,True,RPL39,ribosomal protein L39
109864282,1,0.6524629164696722,False,RNA28SN2,"RNA, 28S ribosomal N2"
109910382,1,0.6542162650251739,False,RNA28SN3,"RNA, 28S ribosomal N3"
27074,1,0.39429403089484844,False,LAMP3,lysosomal associated membrane protein 3
1675,1,0.45835005581070204,False,CFD,complement factor D
28698,1,0.18647596771631827,False,TRAJ57,T cell receptor alpha joining 57
28744,1,0.522452566542746,False,TRAJ11,T cell receptor alpha joining 11
2944,1,0.3762196377754121,False,GSTM1,glutathione S-transferase mu 1
6133,1,0.9282783825968962,True,RPL9,ribosomal protein L9
109864271,1,0.6499365392622215,False,RNA45SN4,"RNA, 45S pre-ribosomal N4"
728358,1,-0.13251785853372744,False,DEFA1B,defensin alpha 1B
100861532,1,0.6487624743951627,False,RNA45SN5,"RNA, 45S pre-ribosomal N5"
100189003,1,0.8061891200625834,True,TRL-CAA6-1,tRNA-Leu (anticodon CAA) 6-1
28735,1,0.5647004370966802,False,TRAJ20,T cell receptor alpha joining 20
106631777,1,0.6556402644773608,False,RNA45SN1,"RNA, 45S pre-ribosomal N1"
109864279,1,0.6560657419741329,False,RNA45SN2,"RNA, 45S pre-ribosomal N2"
1667,1,-0.13199366585137365,False,DEFA1,defensin alpha 1
28559,1,0.39099777947242553,False,TRBV28,T cell receptor beta variable 28
109910379,1,0.6592560293700601,False,RNA45SN3,"RNA, 45S pre-ribosomal N3"
387066,1,0.6743254379071222,False,SNHG5,small nucleolar RNA host gene 5
107987303,1,0.45435863160597056,False,LOC107987303,uncharacterized LOC107987303
109864280,1,0.6539209234274752,False,RNA18SN2,"RNA, 18S ribosomal N2"
6129,1,0.9508859325866555,True,RPL7,ribosomal protein L7
723778,1,0.5505419338254147,False,MIR650,microRNA 650
107984756,1,-0.1293037781092403,False,LOC107984756,
107984757,1,-0.044534354861980104,False,DUT-AS1,DUT antisense RNA 1
6160,1,0.9320602013233589,True,RPL31,ribosomal protein L31
106631781,1,0.6576759980207513,False,RNA18SN1,"RNA, 18S ribosomal N1"
109910380,1,0.6580162382979401,False,RNA18SN3,"RNA, 18S ribosomal N3"
112268284,1,0.6552532038874818,False,LOC112268284,
246,1,0.03365533069719879,False,ALOX15,arachidonate 15-lipoxygenase
100008588,1,0.6506879012276671,False,RNA18SN5,"RNA, 18S ribosomal N5"
109864273,1,0.6499530789919541,False,RNA18SN4,"RNA, 18S pre-ribosomal N4"
28485,1,-0.07375857609043678,False,IGHD6-25,immunoglobulin heavy diversity 6-25
28710,1,-0.09484394984890415,False,TRAJ45,T cell receptor alpha joining 45
28490,1,0.6143499684111048,False,IGHD5-18,immunoglobulin heavy diversity 5-18
4940,1,0.648568410364656,False,OAS3,2'-5'-oligoadenylate synthetase 3
6614,1,0.7415444151222981,False,SIGLEC1,sialic acid binding Ig like lectin 1
2123,1,0.8228379069867898,True,EVI2A,ecotropic viral integration site 2A
105376839,1,0.41376416776154007,False,LOC105376839,uncharacterized LOC105376839
28719,1,0.5585463650259634,False,TRAJ36,T cell receptor alpha joining 36
28488,1,0.14685861524126234,False,IGHD6-6,immunoglobulin heavy diversity 6-6
28507,1,0.2494934956665083,False,IGHD1-20,immunoglobulin heavy diversity 1-20
28948,1,0.6222168875715332,False,IGKJ3,immunoglobulin kappa joining 3
9349,1,0.9367230541814522,True,RPL23,ribosomal protein L23
3512,1,0.7105266532198148,False,JCHAIN,joining chain of multimeric IgA and IgM
3118,1,0.4555194459265026,False,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2"
3542,1,0.2608836151961223,False,IGLC6,immunoglobulin lambda constant 6
28487,1,0.6840399439622817,False,IGHD6-13,immunoglobulin heavy diversity 6-13
6232,1,0.8779907333695939,True,RPS27,ribosomal protein S27
102465248,1,0.8393262569377928,True,MIR6501,microRNA 6501
28731,1,0.7009829626403716,False,TRAJ24,T cell receptor alpha joining 24
9172,1,0.3790845715876905,False,MYOM2,myomesin 2
3728,1,0.36954007018983964,False,JUP,junction plakoglobin
6139,1,0.9521494595942386,True,RPL17,ribosomal protein L17
28497,1,0.6595159411947872,False,IGHD3-22,immunoglobulin heavy diversity 3-22
28729,1,0.6079530669818273,False,TRAJ26,T cell receptor alpha joining 26
54809,1,0.8602349121310803,True,SAMD9,sterile alpha motif domain containing 9
28505,1,0.4802515969800734,False,IGHD2-2,immunoglobulin heavy diversity 2-2
7130,1,0.48174762781651953,False,TNFAIP6,TNF alpha induced protein 6
6173,1,0.8981604200394372,True,RPL36A,ribosomal protein L36a
28484,1,0.12186265034084326,False,IGHD7-27,immunoglobulin heavy diversity 7-27
3434,1,0.7440938727169275,False,IFIT1,interferon induced protein with tetratricopeptide repeats 1
100189380,1,0.7955800066257761,False,TRG-GCC2-1,tRNA-Gly (anticodon GCC) 2-1
28828,1,0.3312841958062543,False,IGLJ6,immunoglobulin lambda joining 6
100616276,1,0.8264546466565519,True,MIR4538,microRNA 4538
100616422,1,0.8370599012217209,True,MIR4537,microRNA 4537
6210,1,0.8761758371517547,True,RPS15A,ribosomal protein S15a
100189018,1,0.7821988420248207,False,TRL-CAG1-6,tRNA-Leu (anticodon CAG) 1-6
100500854,1,0.7219969372930292,False,MIR3671,microRNA 3671
6218,1,0.9123880991050182,True,RPS17,ribosomal protein S17
28634,1,0.6782250137661301,False,TRBJ1-2,T cell receptor beta joining 1-2
619567,1,0.8995039658335401,True,SNORD2,"small nucleolar RNA, C/D box 2"
28478,1,0.8974874788165642,True,IGHJ3P,immunoglobulin heavy joining 3P (pseudogene)
28742,1,0.49580319006027546,False,TRAJ13,T cell receptor alpha joining 13
100847010,1,0.859506593661737,True,MIR5581,microRNA 5581
28721,1,0.21818185742145565,False,TRAJ34,T cell receptor alpha joining 34
112268313,1,0.6742913596291918,False,LOC112268313,
100616393,1,0.8625412417783477,True,MIR4657,microRNA 4657
28496,1,0.14565526354897027,False,IGHD4-4,immunoglobulin heavy diversity 4-4
91351,1,0.7047961483143953,False,DDX60L,DExD/H-box 60 like
114908,1,0.8769504103065817,True,TMEM123,transmembrane protein 123
406962,1,0.8426207986881356,True,MIR186,microRNA 186
253260,1,0.8394941611772899,True,RICTOR,RPTOR independent companion of MTOR complex 2
6229,1,0.9645332873564111,True,RPS24,ribosomal protein S24
51191,1,0.6206155970127973,False,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
100189011,1,0.6512139115691482,False,TRG-TCC2-6,tRNA-Gly (anticodon TCC) 2-6
28753,1,0.8028492859239513,True,TRAJ2,T cell receptor alpha joining 2 (non-functional)
118932,1,0.38290451942005943,False,ANKRD22,ankyrin repeat domain 22
28501,1,0.705547742443569,False,IGHD3-3,immunoglobulin heavy diversity 3-3
129607,1,0.6617588800138946,False,CMPK2,cytidine/uridine monophosphate kinase 2
260429,1,0.09919938245136702,False,PRSS33,serine protease 33
100422971,1,0.7660670222713936,False,MIR4312,microRNA 4312
28772,1,0.4468113302004063,False,IGLV10-54,immunoglobulin lambda variable 10-54
10417,1,0.6341299743505778,False,SPON2,spondin 2
3139,1,0.4754667117008607,False,HLA-L,"major histocompatibility complex, class I, L (pseudogene)"
28474,1,0.5864151172488783,False,IGHV1-2,immunoglobulin heavy variable 1-2
4154,1,0.9182230509070244,True,MBNL1,muscleblind like splicing regulator 1
64167,1,0.5233607928056658,False,ERAP2,endoplasmic reticulum aminopeptidase 2
55082,1,0.958157487952873,True,ARGLU1,arginine and glutamate rich 1
378938,1,0.9659150786936351,True,MALAT1,metastasis associated lung adenocarcinoma transcript 1
6979,1,0.5246845057681083,False,TRGV5P,T cell receptor gamma variable 5P (pseudogene)
100526842,1,0.9636858402481262,True,RPL17-C18orf32,RPL17-C18orf32 readthrough
109136579,1,0.9663305038169497,True,TALAM1,"TALAM1 transcript, MALAT1 antisense RNA"
100616374,1,0.8238330712797847,True,MIR4539,microRNA 4539
83888,1,0.5911451496542726,False,FGFBP2,fibroblast growth factor binding protein 2
106635533,1,0.9070107285406479,True,SNORA103,"small nucleolar RNA, H/ACA box 103"
28914,1,0.5737299604702152,False,IGKV3-11,immunoglobulin kappa variable 3-11
101927999,1,0.42545520764322187,False,LOC101927999,putative uncharacterized protein FLJ44672
28503,1,0.6541515016194078,False,IGHD2-15,immunoglobulin heavy diversity 2-15
28740,1,0.5397020706079972,False,TRAJ15,T cell receptor alpha joining 15
440270,1,0.9463250252003672,True,GOLGA8B,golgin A8 family member B
28499,1,0.4970147429593325,False,IGHD3-10,immunoglobulin heavy diversity 3-10
931,1,0.8452371575349962,True,MS4A1,membrane spanning 4-domains A1
100616135,1,0.8364625614447158,True,MIR4507,microRNA 4507
8651,1,0.2897148978196819,False,SOCS1,suppressor of cytokine signaling 1
100302237,1,0.8176697079377334,True,MIR1281,microRNA 1281
102465537,1,0.2619230316439438,False,MIR6891,microRNA 6891
100616396,1,0.7761648637341715,False,MIR4712,microRNA 4712
6171,1,0.8375845255277391,True,RPL41,ribosomal protein L41
9934,1,0.4086915881142227,False,P2RY14,purinergic receptor P2Y14
51187,1,0.922031215777222,True,RSL24D1,ribosomal L24 domain containing 1
28521,1,0.7786807426323018,False,TRDJ2,T cell receptor delta joining 2
28519,1,0.8528277687396218,True,TRDJ4,T cell receptor delta joining 4
1933,1,0.8489883382579211,True,EEF1B2,eukaryotic translation elongation factor 1 beta 2
28633,1,0.8555606257548427,True,TRBJ1-3,T cell receptor beta joining 1-3
50852,1,0.9536052257555124,True,TRAT1,T cell receptor associated transmembrane adaptor 1
28520,1,0.7823488661908822,False,TRDJ3,T cell receptor delta joining 3
109623452,1,0.8315363447891361,True,SNORD159,"small nucleolar RNA, C/D box 159"
256236,1,0.4987631780918474,False,NAPSB,"napsin B aspartic peptidase, pseudogene"
677822,1,0.8965326678115196,True,SNORA40,"small nucleolar RNA, H/ACA box 40"
219537,1,0.40459409247316097,False,SMTNL1,smoothelin like 1
400759,1,0.5323132807753963,False,GBP1P1,guanylate binding protein 1 pseudogene 1
29126,1,0.4818951007803316,False,CD274,CD274 molecule
4057,1,-0.02806472856765615,False,LTF,lactotransferrin
6227,1,0.7683426570925274,False,RPS21,ribosomal protein S21
28632,1,0.9065355411132505,True,TRBJ1-4,T cell receptor beta joining 1-4
54543,1,0.8367473349147361,True,TOMM7,translocase of outer mitochondrial membrane 7
28717,1,0.7912913136129855,False,TRAJ38,T cell receptor alpha joining 38
11274,1,0.8040419380053335,True,USP18,ubiquitin specific peptidase 18
28817,1,0.5376883328225331,False,IGLV2-8,immunoglobulin lambda variable 2-8
3433,1,0.8033333439309248,True,IFIT2,interferon induced protein with tetratricopeptide repeats 2
28734,1,0.6720412515611982,False,TRAJ21,T cell receptor alpha joining 21
115350,1,0.8896991819312475,True,FCRL1,Fc receptor like 1
1195,1,0.9337843640673346,True,CLK1,CDC like kinase 1
100422860,1,0.8635637277279923,True,MIR4292,microRNA 4292
4318,1,0.3119138983140765,False,MMP9,matrix metallopeptidase 9
28774,1,0.4622669292199913,False,IGLV8-61,immunoglobulin lambda variable 8-61
3575,1,0.9290129968868436,True,IL7R,interleukin 7 receptor
4599,1,0.6044935664827892,False,MX1,MX dynamin like GTPase 1
6155,1,0.8404873607624507,True,RPL27,ribosomal protein L27
104326052,1,0.7065631712851449,False,NRIR,negative regulator of interferon response
6222,1,0.7882854151467882,False,RPS18,ribosomal protein S18
472,1,0.9670242902171066,True,ATM,ATM serine/threonine kinase
100189029,1,0.8661674129798054,True,TRC-GCA22-1,tRNA-Cys (anticodon GCA) 22-1
2205,1,0.671097155709294,False,FCER1A,Fc epsilon receptor Ia
6231,1,0.6257645595096776,False,RPS26,ribosomal protein S26
3127,1,0.666914514932054,False,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5"
3001,1,0.8261674030794081,True,GZMA,granzyme A
330,1,0.9641589892541595,True,BIRC3,baculoviral IAP repeat containing 3
28500,1,0.6772634341886307,False,IGHD3-9,immunoglobulin heavy diversity 3-9
6286,1,0.24604125172946334,False,S100P,S100 calcium binding protein P
441081,1,0.5079903967090983,False,LOC441081,POM121 membrane glycoprotein (rat) pseudogene
23325,1,0.8877201173057127,True,WASHC4,WASH complex subunit 4
100847028,1,0.8343015830416521,True,MIR5587,microRNA 5587
6194,1,0.7256465052473099,False,RPS6,ribosomal protein S6
55196,1,0.8394300074914313,True,RESF1,retroelement silencing factor 1
60675,1,0.6823347880687589,False,PROK2,prokineticin 2
22797,1,0.838004093064238,True,TFEC,transcription factor EC
54464,1,0.6813254195417223,False,XRN1,5'-3' exoribonuclease 1
8115,1,0.7676326796012837,False,TCL1A,TCL1 family AKT coactivator A
28708,1,0.2119004418756273,False,TRAJ47,T cell receptor alpha joining 47
28749,1,0.5621456879300015,False,TRAJ6,T cell receptor alpha joining 6
9406,1,0.9550712105188204,True,ZRANB2,zinc finger RANBP2-type containing 2
162632,1,0.6969134161002342,False,USP32P1,ubiquitin specific peptidase 32 pseudogene 1
10114,1,0.8185279793979204,True,HIPK3,homeodomain interacting protein kinase 3
10791,1,0.20331075150402844,False,VAMP5,vesicle associated membrane protein 5
693175,1,0.8553963784755007,True,MIR590,microRNA 590
105376505,1,0.6349535405787056,False,LOC105376505,uncharacterized LOC105376505
340206,1,0.11284564227501591,False,TREML3P,"triggering receptor expressed on myeloid cells like 3, pseudogene"
387751,1,0.9176148370591046,True,GVINP1,"GTPase, very large interferon inducible pseudogene 1"
114882,1,0.8586971763238054,True,OSBPL8,oxysterol binding protein like 8
23015,1,0.9548395194983494,True,GOLGA8A,golgin A8 family member A
100506915,1,0.9332974916044496,True,CHRM3-AS2,CHRM3 antisense RNA 2
3957,1,0.27991188795194566,False,LGALS2,galectin 2
106635534,1,0.8371289860140932,True,SNORA104,"small nucleolar RNA, H/ACA box 104"
6144,1,0.8279002489075566,True,RPL21,ribosomal protein L21
3676,1,0.8734873384774108,True,ITGA4,integrin subunit alpha 4
100381270,1,0.8861837040860852,True,ZBED6,zinc finger BED-type containing 6
102465836,1,0.3935778056325141,False,MIR7846,microRNA 7846
10308,1,0.783359018275965,False,ZNF267,zinc finger protein 267
28493,1,0.12454077601062216,False,IGHD4-23,immunoglobulin heavy diversity 4-23 (non-functional)
102723170,1,0.006575619081104786,False,IGHV3-64D,immunoglobulin heavy variable 3-64D
28699,1,0.1611199200944838,False,TRAJ56,T cell receptor alpha joining 56
3429,1,0.5657762440929752,False,IFI27,interferon alpha inducible protein 27
1043,1,0.8550800660221154,True,CD52,CD52 molecule
28483,1,0.059111570730070916,False,IGHJ1,immunoglobulin heavy joining 1
100616150,1,0.8330845956924268,True,MIR4720,microRNA 4720
28522,1,0.674498876602588,False,TRDJ1,T cell receptor delta joining 1
693155,1,0.8593227741645614,True,MIR570,microRNA 570
5567,1,0.9580017958033383,True,PRKACB,protein kinase cAMP-activated catalytic subunit beta
3120,1,0.4714261718661991,False,HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2"
28723,1,0.7019042181596198,False,TRAJ32,T cell receptor alpha joining 32
55601,1,0.7665961648752725,False,DDX60,DExD/H-box helicase 60
692063,1,0.7889822117080049,False,SNORA32,"small nucleolar RNA, H/ACA box 32"
4939,1,0.7480405127146004,False,OAS2,2'-5'-oligoadenylate synthetase 2
692234,1,0.8793623587772221,True,SNORD103A,"small nucleolar RNA, C/D box 103A"
9022,1,0.5261946759381568,False,CLIC3,chloride intracellular channel 3
1669,1,-0.038581028277349314,False,DEFA4,defensin alpha 4
26519,1,0.37030422769786286,False,TIMM10,translocase of inner mitochondrial membrane 10
28739,1,0.7869747983024695,False,TRAJ16,T cell receptor alpha joining 16
160364,1,0.6386155390101518,False,CLEC12A,C-type lectin domain family 12 member A
6983,1,0.5672322877034474,False,TRGV9,T cell receptor gamma variable 9
9636,1,0.5483052558213303,False,ISG15,ISG15 ubiquitin like modifier
28941,1,0.5135910050541586,False,IGKV1-9,immunoglobulin kappa variable 1-9
4061,1,0.7668341091758286,False,LY6E,lymphocyte antigen 6 family member E
6233,1,0.7027621043303538,False,RPS27A,ribosomal protein S27a
54407,1,0.8663946091516173,True,SLC38A2,solute carrier family 38 member 2
9383,1,0.6936925535576314,False,TSIX,"TSIX transcript, XIST antisense RNA"
1350,1,0.9186959744309213,True,COX7C,cytochrome c oxidase subunit 7C
162394,1,0.9235916470664549,True,SLFN5,schlafen family member 5
26790,1,0.9017368174460831,True,SNORD58B,"small nucleolar RNA, C/D box 58B"
100189146,1,0.8601907214310501,True,TRC-GCA16-1,tRNA-Cys (anticodon GCA) 16-1
23347,1,0.8012844695176333,True,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
6135,1,0.9083019890450168,True,RPL11,ribosomal protein L11
28445,1,0.6655783676681686,False,IGHV3-20,immunoglobulin heavy variable 3-20
3560,1,0.7585419026999283,False,IL2RB,interleukin 2 receptor subunit beta
28486,1,0.049938052699773444,False,IGHD6-19,immunoglobulin heavy diversity 6-19
8473,1,0.9493199801332882,True,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
3502,1,0.4684804102162366,False,IGHG3,immunoglobulin heavy constant gamma 3 (G3m marker)
28714,1,0.1407983630053776,False,TRAJ41,T cell receptor alpha joining 41
106635683,1,0.815431434519446,True,SNORD141A,"small nucleolar RNA, C/D box 141A"
28737,1,0.8266431172678587,True,TRAJ18,T cell receptor alpha joining 18
2113,1,0.922219401978094,True,ETS1,"ETS proto-oncogene 1, transcription factor"
219285,1,0.7006966586836764,False,SAMD9L,sterile alpha motif domain containing 9 like
28803,1,0.46210528319787786,False,IGLV3-10,immunoglobulin lambda variable 3-10
112268259,1,0.9520322909005877,True,LOC112268259,
203228,1,0.8436729890502654,True,C9orf72,C9orf72-SMCR8 complex subunit
10613,1,0.3014762513567569,False,ERLIN1,ER lipid raft associated 1
2537,1,0.5944448997029536,False,IFI6,interferon alpha inducible protein 6
28876,1,0.5768882257275296,False,IGKV3D-11,immunoglobulin kappa variable 3D-11
100288615,1,0.9617796029073747,True,WHAMMP1,WHAMM pseudogene 1
6235,1,0.803727936756225,True,RPS29,ribosomal protein S29
81539,1,0.9612133049549167,True,SLC38A1,solute carrier family 38 member 1
100616345,1,0.660051202408196,False,MIR4426,microRNA 4426
3717,1,0.8544428823821802,True,JAK2,Janus kinase 2
6224,1,0.7163441202197602,False,RPS20,ribosomal protein S20
100131439,1,-0.02497572499210037,False,CD300LD,CD300 molecule like family member d
644246,1,0.5983005931340803,False,KANSL1-AS1,KANSL1 antisense RNA 1
60674,1,0.926247727126825,True,GAS5,growth arrest specific 5
8763,1,0.9235491424059336,True,CD164,CD164 molecule
285852,1,0.17882736565594748,False,TREML4,triggering receptor expressed on myeloid cells like 4
597,1,0.9298998406818842,True,BCL2A1,BCL2 related protein A1
647979,1,0.964978658681667,True,NORAD,non-coding RNA activated by DNA damage
5610,1,0.7956969602954558,False,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
283663,1,0.8647853929972864,True,LINC00926,long intergenic non-protein coding RNA 926
4824,1,-0.013733230023996033,False,NKX3-1,NK3 homeobox 1
9301,1,0.8283994709598989,True,SNORD27,"small nucleolar RNA, C/D box 27"
10161,1,0.9027120808406046,True,LPAR6,lysophosphatidic acid receptor 6
692072,1,0.7859803962875209,False,SNORD5,"small nucleolar RNA, C/D box 5"
378706,1,0.5755021688077536,False,RN7SL2,RNA component of signal recognition particle 7SL2
3572,1,0.9359282687338268,True,IL6ST,interleukin 6 cytokine family signal transducer
306,1,0.41961524990021865,False,ANXA3,annexin A3
7178,1,0.9440761062946845,True,TPT1,"tumor protein, translationally-controlled 1"
406891,1,0.6781316356512147,False,MIRLET7I,microRNA let-7i
100190986,1,0.9362808656312201,True,LOC100190986,uncharacterized LOC100190986
168537,1,0.9095384088317576,True,GIMAP7,"GTPase, IMAP family member 7"
7913,1,0.8383710055200319,True,DEK,DEK proto-oncogene
10735,1,0.8522028500298642,True,STAG2,stromal antigen 2
115361,1,0.5252038860973594,False,GBP4,guanylate binding protein 4
117157,1,0.7759123133869806,False,SH2D1B,SH2 domain containing 1B
51251,1,0.8798688758908653,True,NT5C3A,"5'-nucleotidase, cytosolic IIIA"
728658,1,0.7702093774438,False,RPL13AP5,ribosomal protein L13a pseudogene 5
3495,1,0.8100133458105728,True,IGHD,immunoglobulin heavy constant delta
23586,1,0.6862569335990945,False,RIGI,RNA sensor RIG-I
1178,1,0.46015506813105544,False,CLC,Charcot-Leyden crystal galectin
441168,1,0.40701442473558963,False,CALHM6,calcium homeostasis modulator family member 6
106635684,1,0.8566422603303568,True,SNORD141B,"small nucleolar RNA, C/D box 141B"
165631,1,0.9563981839709889,True,PARP15,poly(ADP-ribose) polymerase family member 15
79026,1,0.9274369145864064,True,AHNAK,AHNAK nucleoprotein
55251,1,0.9628850479064037,True,PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
54739,1,0.7481975206507225,False,XAF1,XIAP associated factor 1
4214,1,0.8999161885010749,True,MAP3K1,mitogen-activated protein kinase kinase kinase 1
6974,1,0.704824682128465,False,TRGV2,T cell receptor gamma variable 2
6152,1,0.7520927187238212,False,RPL24,ribosomal protein L24
375743,1,0.9125824543610939,True,PTAR1,protein prenyltransferase alpha subunit repeat containing 1
6029,1,0.6247311192161967,False,RN7SL1,RNA component of signal recognition particle 7SL1
55007,1,0.8170209213698256,True,FAM118A,family with sequence similarity 118 member A
28475,1,0.8320166162399059,True,IGHJ6,immunoglobulin heavy joining 6
692057,1,0.8719083668722791,True,SNORD12,"small nucleolar RNA, C/D box 12"
28752,1,0.6141748414697384,False,TRAJ3,T cell receptor alpha joining 3
102465874,1,0.8918233995889611,True,MIR8075,microRNA 8075
127933,1,0.9363292902775211,True,UHMK1,U2AF homology motif kinase 1
100616479,1,0.7960581434933228,False,MIR4635,microRNA 4635
28754,1,0.6168769284152313,False,TRAJ1,T cell receptor alpha joining 1 (non-functional)
91612,1,0.8629234183386075,True,CHURC1,churchill domain containing 1
51742,1,0.9034879756066266,True,ARID4B,AT-rich interaction domain 4B
26,1,0.33092246254682456,False,AOC1,amine oxidase copper containing 1
100169762,1,0.5164014131321772,False,RNA5S11,"RNA, 5S ribosomal 11"
100616157,1,0.6808864684315389,False,MIR4772,microRNA 4772
100506710,1,0.9563433253571548,True,EBLN3P,"endogenous Bornavirus like nucleoprotein 3, pseudogene"
5500,1,0.9151155021086833,True,PPP1CB,protein phosphatase 1 catalytic subunit beta
10673,1,0.7317367148124272,False,TNFSF13B,TNF superfamily member 13b
120,1,0.9520517909305704,True,ADD3,adducin 3
28951,1,0.9708648872827935,True,TRIB2,tribbles pseudokinase 2
84636,1,0.9420536814723826,True,GPR174,G protein-coupled receptor 174
6230,1,0.7352982383257209,False,RPS25,ribosomal protein S25
100616487,1,0.8753661040355664,True,MIR4517,microRNA 4517
26804,1,0.7190190209627331,False,SNORD45B,"small nucleolar RNA, C/D box 45B"
692199,1,0.9617623048663518,True,SNORD84,"small nucleolar RNA, C/D box 84"
100169767,1,0.4870163665306657,False,RNA5S16,"RNA, 5S ribosomal 16"
